Deployment_id,Longitude,Latitude,o1,o2,o3,o4,o5,d1,d2,d3,d4,d5,p1,p2,p3,p4,p5,e1,e2,e3,e4,e5
PU_Oct-Dec2017_CT-PU-01-01,-76.35786,1.78917,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,9.5,10,10,10,4.5
PU_Oct-Dec2017_CT-PU-02-01,-76.33517,1.81078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-02,-76.35872,1.78528,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
PU_Oct-Dec2017_CT-PU-02-02,-76.33972,1.8105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-03,-76.34894,1.79267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
PU_Oct-Dec2017_CT-PU-02-03,-76.33497,1.81547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-04,-76.34411,1.79256,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,10,10,10,5.5
PU_Oct-Dec2017_CT-PU-02-04,-76.33992,1.80581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-05,-76.33142,1.79267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,7.5
PU_Oct-Dec2017_CT-PU-02-05,-76.33506,1.82014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,8.5
PU_Oct-Dec2017_CT-PU-01-06,-76.33569,1.79264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,9.5
PU_Oct-Dec2017_CT-PU-02-06,-76.34472,1.80606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-07,-76.33939,1.79753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,9.5
PU_Oct-Dec2017_CT-PU-02-07,-76.34858,1.80564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-08,-76.34406,1.79703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
